PrimaryDiagnosisCode,PrimaryDiagnosisDescription,NumberOfDiagnoses
C47.12,""Malignant neoplasm of peripheral nerves of left upper limb",183
M05.42,"Rheumatoid myopathy with rheumatoid arthritis of elbow",180
E10.65,"Type 1 diabetes mellitus with hyperglycemia",177
C10.8,"Malignant neoplasm of overlapping sites of oropharynx",176
M06.02,""Rheumatoid arthritis without rheumatoid factor",175
F14.180,"Cocaine abuse with cocaine-induced anxiety disorder",175
C57.02,"Malignant neoplasm of left fallopian tube",174
D65,"Disseminated intravascular coagulation [defibrination syndrome]",173
C49.5,"Malignant neoplasm of connective and soft tissue of pelvis",172
Z12,"Encounter for screening for malignant neoplasms",171
M84.511,""Pathological fracture in neoplastic disease",170
O24.01,""Pre-existing diabetes mellitus",170
M84.571,""Pathological fracture in neoplastic disease",170
I08,"Multiple valve diseases",170
C80.2,"Malignant neoplasm associated with transplanted organ",170
F51,"Sleep disorders not due to a substance or known physiological condition",170
E11.63,"Type 2 diabetes mellitus with oral complications",169
M05.452,"Rheumatoid myopathy with rheumatoid arthritis of left hip",169
E84.0,"Cystic fibrosis with pulmonary manifestations",169
O98.62,"Protozoal diseases complicating childbirth",169
T46.3X3,""Poisoning by coronary vasodilators",169
I27.0,"Primary pulmonary hypertension",168
H94.01,""Acoustic neuritis in infectious and parasitic diseases classified elsewhere",167
M24.24,""Disorder of ligament",167
D83.1,"Common variable immunodeficiency with predominant immunoregulatory T-cell disorders",166
E75.242,"Niemann-Pick disease type C",166
C20,"Malignant neoplasm of rectum",166
F43.2,"Adjustment disorders",166
C69.1,"Malignant neoplasm of cornea",166
M01.X4,"Direct infection of hand in infectious and parasitic diseases classified elsewhere",166
C25.1,"Malignant neoplasm of body of pancreas",165
M05.77,"Rheumatoid arthritis with rheumatoid factor of ankle and foot without organ or systems involvement",165
D16.8,""Benign neoplasm of pelvic bones",165
O98.712,""Human immunodeficiency virus [HIV] disease complicating pregnancy",165
M63.851,""Disorders of muscle in diseases classified elsewhere",165
M22,"Disorder of patella",165
G52.2,"Disorders of vagus nerve",164
B97.12,"Echovirus as the cause of diseases classified elsewhere",164
E10.43,"Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy",164
C02.0,"Malignant neoplasm of dorsal surface of tongue",164
E09.3,"Drug or chemical induced diabetes mellitus with ophthalmic complications",164
F06.33,"Mood disorder due to known physiological condition with manic features",164
M05.361,"Rheumatoid heart disease with rheumatoid arthritis of right knee",163
M06.311,""Rheumatoid nodule",163
B73.1,"Onchocerciasis without eye disease",163
O99.53,"Diseases of the respiratory system complicating the puerperium",163
K50.813,"Crohn's disease of both small and large intestine with fistula",163
G47.26,""Circadian rhythm sleep disorder",163
C91.3,"Prolymphocytic leukemia of B-cell type",163
M01.X11,"Direct infection of right shoulder in infectious and parasitic diseases classified elsewhere",163
O29.123,""Cardiac failure due to anesthesia during pregnancy",163
D11,"Benign neoplasm of major salivary glands",163
C16.4,"Malignant neoplasm of pylorus",163
M05.432,"Rheumatoid myopathy with rheumatoid arthritis of left wrist",163
Z15.02,"Genetic susceptibility to malignant neoplasm of ovary",162
C51.0,"Malignant neoplasm of labium majus",162
F63,"Impulse disorders",162
M05.571,"Rheumatoid polyneuropathy with rheumatoid arthritis of right ankle and foot",162
E08.4,"Diabetes mellitus due to underlying condition with neurological complications",162
K71.10,""Toxic liver disease with hepatic necrosis",162
E71,"Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism",162
P27.1,"Bronchopulmonary dysplasia originating in the perinatal period",162
Q44.6,"Cystic disease of liver",162
C74.12,"Malignant neoplasm of medulla of left adrenal gland",162
C15.8,"Malignant neoplasm of overlapping sites of esophagus",162
O99.511,""Diseases of the respiratory system complicating pregnancy",162
M06.072,""Rheumatoid arthritis without rheumatoid factor",162
D57.211,"Sickle-cell/Hb-C disease with acute chest syndrome",161
D13.9,"Benign neoplasm of ill-defined sites within the digestive system",161
F32,""Major depressive disorder",161
O04.83,"Metabolic disorder following (induced) termination of pregnancy",161
C94.0,"Acute erythroid leukemia",161
D32.0,"Benign neoplasm of cerebral meninges",161
C30.1,"Malignant neoplasm of middle ear",161
O04.86,"Cardiac arrest following (induced) termination of pregnancy",161
O29.113,""Cardiac arrest due to anesthesia during pregnancy",161
M50,"Cervical disc disorders",161
